PG_ID,Location,Latitude,Longitude,Distance_From_Center_KM,Rent,Sharing,Gender,Meals_Per_Day,Weekend_Food,WiFi,AC,Laundry,Parking,Housekeeping,Lift,Security,CCTV,Power_Backup,Drinking_Water,Floors,Food_Type,Pets_Allowed,Visitors_Allowed,Smoking_Area,Curfew_Time,Available_From,Availability
21,thanisandra,13.05,77.62,3.05,4487,Triple,Co-ed,2,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,4,Veg,Yes,Yes,No,10:00 PM,10-05-2026,Available
22,sahakar nagar,13.06,77.58,3.36,4452,Triple,Co-ed,2,No,Yes,No,No,No,No,No,No,No,Yes,Yes,2,Both,No,Yes,No,10:00 PM,03-05-2026,Full
23,thanisandra,13.05,77.62,3.05,4515,Triple,Co-ed,3,No,No,No,No,No,No,No,No,Yes,No,Yes,4,Both,No,No,No,No Curfew,02-05-2026,Available
24,kothanur,13.06,77.65,6.5,13380,Single,Co-ed,2,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,4,Veg,No,Yes,No,9:00 PM,14-05-2026,Full
25,thanisandra,13.05,77.62,3.05,6728,Double,Boys,3,No,Yes,Yes,No,No,No,No,No,No,No,No,5,Both,Yes,No,No,10:00 PM,23-04-2026,Available
26,hennur,13.05,77.64,5.06,13968,Single,Girls,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,4,Both,No,No,No,10:00 PM,23-04-2026,Available
27,sahakar nagar,13.06,77.58,3.36,10491,Double,Girls,3,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,3,Both,No,No,No,10:00 PM,16-05-2026,Available
28,hennur,13.05,77.64,5.06,6539,Triple,Girls,2,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,4,Both,Yes,No,No,11:00 PM,24-04-2026,Available
29,horamavu,13.03,77.67,8.12,7141,Triple,Girls,3,No,No,No,No,No,No,No,Yes,No,No,Yes,5,Both,No,No,No,No Curfew,18-05-2026,Available
30,horamavu,13.03,77.67,8.12,10285,Double,Boys,2,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,4,Both,Yes,Yes,No,11:00 PM,08-05-2026,Available
31,rt nagar,13.022,77.594,1.48,7256,Double,Boys,3,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,5,Non-Veg,Yes,Yes,No,11:00 PM,16-05-2026,Full
32,yelahanka,13.1,77.596,7.22,6539,Double,Boys,2,Yes,No,No,No,No,No,No,No,Yes,No,Yes,2,Non-Veg,No,Yes,No,11:00 PM,30-04-2026,Available
33,jakkur,13.08,77.6,5.01,8871,Double,Co-ed,3,No,No,Yes,No,No,No,No,Yes,No,No,Yes,1,Both,No,Yes,No,11:00 PM,21-04-2026,Available
34,yelahanka,13.1,77.596,7.22,4404,Triple,Boys,2,Yes,No,No,No,No,No,No,No,No,No,Yes,1,Veg,No,No,Yes,11:00 PM,07-05-2026,Full
35,vidyaranyapura,13.08,77.55,7.22,10583,Double,Boys,2,No,Yes,Yes,No,No,No,No,No,No,No,Yes,1,Non-Veg,No,Yes,No,9:00 PM,25-04-2026,Available
36,horamavu,13.03,77.67,8.12,15996,Single,Girls,3,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,1,Both,No,Yes,No,9:00 PM,09-05-2026,Available
37,kodigehalli,13.07,77.58,4.32,19320,Single,Girls,2,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,3,Non-Veg,No,Yes,No,11:00 PM,01-05-2026,Full
38,bagalur,13.12,77.65,11.12,7445,Triple,Co-ed,2,No,Yes,No,No,No,No,No,No,Yes,No,Yes,2,Both,Yes,Yes,Yes,10:00 PM,29-04-2026,Full
39,kalyan nagar,13.025,77.64,4.9,4523,Triple,Girls,3,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,2,Both,No,Yes,No,11:00 PM,10-05-2026,Available
40,kammanahalli,13.02,77.635,4.53,6766,Triple,Co-ed,2,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,3,Veg,No,Yes,No,No Curfew,23-04-2026,Available
41,kammanahalli,13.02,77.635,4.53,10906,Single,Girls,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,3,Non-Veg,No,Yes,No,10:00 PM,12-05-2026,Available
42,rt nagar,13.022,77.594,1.48,16943,Single,Girls,2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,5,Veg,Yes,Yes,Yes,11:00 PM,01-05-2026,Available
43,jakkur,13.08,77.6,5.01,7517,Triple,Co-ed,3,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,1,Veg,No,No,No,11:00 PM,22-04-2026,Full
44,jakkur,13.08,77.6,5.01,9846,Single,Boys,2,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,5,Both,No,No,Yes,No Curfew,23-04-2026,Full
45,thanisandra,13.05,77.62,3.05,7744,Triple,Boys,3,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,3,Non-Veg,No,No,No,9:00 PM,02-05-2026,Full
46,sahakar nagar,13.06,77.58,3.36,19161,Single,Co-ed,3,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,3,Veg,Yes,No,No,10:00 PM,16-05-2026,Available
47,kammanahalli,13.02,77.635,4.53,6621,Triple,Boys,3,No,No,No,No,No,No,No,Yes,No,No,Yes,1,Non-Veg,No,Yes,Yes,10:00 PM,28-04-2026,Available
48,thanisandra,13.05,77.62,3.05,7110,Triple,Boys,2,Yes,No,No,No,Yes,No,No,No,No,No,Yes,1,Non-Veg,No,No,Yes,No Curfew,24-04-2026,Available
49,yelahanka,13.1,77.596,7.22,11645,Single,Co-ed,2,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,4,Non-Veg,No,No,No,11:00 PM,09-05-2026,Full
50,kalyan nagar,13.025,77.64,4.9,5955,Triple,Co-ed,2,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,2,Non-Veg,No,Yes,No,11:00 PM,02-05-2026,Full
51,kodigehalli,13.07,77.58,4.32,10451,Double,Boys,3,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,1,Both,Yes,No,No,9:00 PM,12-05-2026,Full
52,sahakar nagar,13.06,77.58,3.36,7030,Triple,Girls,3,No,No,No,No,No,Yes,No,No,Yes,No,Yes,1,Non-Veg,No,No,No,11:00 PM,17-05-2026,Full
53,sahakar nagar,13.06,77.58,3.36,6417,Double,Girls,2,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,2,Veg,Yes,No,Yes,9:00 PM,10-05-2026,Available
54,thanisandra,13.05,77.62,3.05,9432,Double,Co-ed,3,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,5,Non-Veg,No,Yes,No,11:00 PM,09-05-2026,Available
55,bagalur,13.12,77.65,11.12,6065,Triple,Boys,2,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,2,Veg,Yes,No,No,10:00 PM,13-05-2026,Available
56,hebbal,13.035,77.597,0,4054,Triple,Co-ed,3,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,1,Both,No,No,No,10:00 PM,14-05-2026,Full
57,horamavu,13.03,77.67,8.12,18503,Single,Girls,3,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,5,Both,No,No,No,No Curfew,21-04-2026,Full
58,jakkur,13.08,77.6,5.01,9594,Double,Boys,3,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,1,Both,No,Yes,No,9:00 PM,07-05-2026,Full
59,kothanur,13.06,77.65,6.5,9953,Double,Boys,3,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,3,Both,No,Yes,No,No Curfew,29-04-2026,Available
60,nagawara,13.04,77.62,2.61,19273,Single,Co-ed,3,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2,Both,No,Yes,Yes,10:00 PM,16-05-2026,Full
61,kammanahalli,13.02,77.635,4.53,12629,Single,Co-ed,2,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,3,Non-Veg,No,Yes,No,No Curfew,12-05-2026,Full
62,kodigehalli,13.07,77.58,4.32,6116,Triple,Boys,2,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,1,Non-Veg,No,No,No,11:00 PM,15-05-2026,Full
63,bagalur,13.12,77.65,11.12,11158,Double,Co-ed,3,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,1,Veg,Yes,Yes,No,10:00 PM,28-04-2026,Full
64,hennur,13.05,77.64,5.06,10062,Double,Girls,2,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,1,Veg,Yes,Yes,No,9:00 PM,04-05-2026,Available
65,horamavu,13.03,77.67,8.12,13430,Single,Girls,3,No,Yes,No,No,No,No,No,No,Yes,No,Yes,3,Both,No,Yes,No,11:00 PM,01-05-2026,Available
66,vidyaranyapura,13.08,77.55,7.22,11983,Single,Girls,3,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,3,Both,No,Yes,No,10:00 PM,03-05-2026,Available
67,sahakar nagar,13.06,77.58,3.36,12810,Single,Boys,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4,Both,No,Yes,Yes,11:00 PM,04-05-2026,Full
68,kodigehalli,13.07,77.58,4.32,6375,Double,Girls,2,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,5,Non-Veg,Yes,Yes,No,No Curfew,04-05-2026,Full
69,yelahanka,13.1,77.596,7.22,9415,Double,Girls,3,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,2,Veg,Yes,No,No,No Curfew,25-04-2026,Full
70,kodigehalli,13.07,77.58,4.32,5796,Triple,Boys,2,No,Yes,No,No,No,No,No,No,No,No,Yes,5,Non-Veg,Yes,Yes,No,9:00 PM,04-05-2026,Full
71,jakkur,13.08,77.6,5.01,10380,Single,Girls,3,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,4,Non-Veg,No,Yes,No,No Curfew,16-05-2026,Available
72,kodigehalli,13.07,77.58,4.32,4913,Triple,Co-ed,3,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,3,Both,No,No,No,9:00 PM,06-05-2026,Full
73,kammanahalli,13.02,77.635,4.53,7239,Triple,Girls,3,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,1,Non-Veg,Yes,No,Yes,10:00 PM,01-05-2026,Full
74,horamavu,13.03,77.67,8.12,9508,Double,Boys,2,No,Yes,No,No,No,Yes,No,No,No,No,Yes,4,Veg,Yes,No,Yes,10:00 PM,09-05-2026,Available
75,yelahanka,13.1,77.596,7.22,6461,Triple,Boys,3,Yes,No,No,No,No,No,No,Yes,No,No,Yes,4,Non-Veg,Yes,Yes,Yes,11:00 PM,16-05-2026,Full
76,hennur,13.05,77.64,5.06,15353,Single,Co-ed,2,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,2,Veg,Yes,Yes,No,11:00 PM,24-04-2026,Available
77,thanisandra,13.05,77.62,3.05,16266,Single,Girls,2,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,4,Non-Veg,No,No,No,11:00 PM,10-05-2026,Available
78,nagawara,13.04,77.62,2.61,10682,Single,Co-ed,2,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,4,Veg,Yes,No,No,11:00 PM,05-05-2026,Full
79,hennur,13.05,77.64,5.06,7050,Double,Boys,2,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,4,Both,Yes,Yes,Yes,10:00 PM,18-05-2026,Full
80,yelahanka,13.1,77.596,7.22,14109,Single,Co-ed,2,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,1,Non-Veg,No,No,Yes,9:00 PM,12-05-2026,Available
81,kalyan nagar,13.025,77.64,4.9,7762,Triple,Girls,3,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,1,Non-Veg,No,Yes,No,10:00 PM,16-05-2026,Available
82,kalyan nagar,13.025,77.64,4.9,4917,Triple,Co-ed,3,No,No,No,No,No,Yes,No,No,Yes,No,Yes,1,Non-Veg,Yes,Yes,No,11:00 PM,28-04-2026,Available
83,vidyaranyapura,13.08,77.55,7.22,7911,Triple,Boys,2,No,No,No,No,Yes,No,No,No,No,No,Yes,2,Non-Veg,No,No,No,9:00 PM,02-05-2026,Full
84,rt nagar,13.022,77.594,1.48,8956,Double,Girls,3,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,5,Veg,No,No,No,11:00 PM,30-04-2026,Full
85,kodigehalli,13.07,77.58,4.32,17946,Single,Boys,2,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,4,Non-Veg,No,Yes,No,No Curfew,29-04-2026,Full
86,kammanahalli,13.02,77.635,4.53,15563,Single,Boys,2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,5,Veg,No,Yes,No,No Curfew,06-05-2026,Available
87,hennur,13.05,77.64,5.06,4477,Triple,Girls,3,Yes,No,No,No,No,No,No,No,No,No,Yes,2,Non-Veg,Yes,No,Yes,11:00 PM,18-05-2026,Full
88,hennur,13.05,77.64,5.06,8113,Double,Co-ed,3,No,Yes,No,No,No,Yes,No,No,No,No,Yes,4,Both,No,Yes,Yes,No Curfew,01-05-2026,Full
89,nagawara,13.04,77.62,2.61,16115,Single,Boys,3,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,4,Veg,No,Yes,No,10:00 PM,29-04-2026,Available
90,hebbal,13.035,77.597,0,7316,Double,Boys,2,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,3,Non-Veg,Yes,Yes,No,9:00 PM,27-04-2026,Available
91,rt nagar,13.022,77.594,1.48,5246,Triple,Girls,2,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,5,Non-Veg,No,No,Yes,10:00 PM,22-04-2026,Full
92,yelahanka,13.1,77.596,7.22,11238,Double,Boys,3,No,No,No,No,No,No,Yes,No,No,No,Yes,5,Non-Veg,No,Yes,Yes,11:00 PM,22-04-2026,Full
93,sahakar nagar,13.06,77.58,3.36,5009,Triple,Boys,2,No,No,No,No,No,Yes,No,Yes,No,No,No,3,Veg,No,No,No,9:00 PM,09-05-2026,Full
94,jakkur,13.08,77.6,5.01,5388,Triple,Boys,2,No,Yes,No,Yes,No,No,No,No,No,No,Yes,1,Veg,No,Yes,No,11:00 PM,28-04-2026,Full
95,bagalur,13.12,77.65,11.12,8889,Double,Boys,2,No,No,No,No,No,No,No,Yes,Yes,No,Yes,4,Veg,No,No,No,9:00 PM,08-05-2026,Full
96,nagawara,13.04,77.62,2.61,8411,Double,Co-ed,3,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,2,Non-Veg,Yes,No,No,11:00 PM,04-05-2026,Available
97,rt nagar,13.022,77.594,1.48,12610,Single,Girls,2,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,5,Both,Yes,Yes,No,No Curfew,19-05-2026,Available
98,yelahanka,13.1,77.596,7.22,6345,Triple,Girls,2,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,2,Veg,Yes,No,No,10:00 PM,19-05-2026,Available
99,yelahanka,13.1,77.596,7.22,6729,Triple,Boys,3,No,No,Yes,No,No,No,No,No,Yes,No,Yes,2,Both,Yes,Yes,No,11:00 PM,21-04-2026,Full
100,kammanahalli,13.02,77.635,4.53,4630,Triple,Boys,2,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,5,Veg,No,Yes,No,10:00 PM,29-04-2026,Full
101,nagawara,13.04,77.62,2.61,11094,Double,Co-ed,2,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,1,Non-Veg,No,Yes,No,10:00 PM,18-05-2026,Available
102,horamavu,13.03,77.67,8.12,8564,Double,Co-ed,3,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,3,Veg,No,Yes,Yes,9:00 PM,02-05-2026,Available
103,sahakar nagar,13.06,77.58,3.36,11561,Double,Co-ed,3,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,5,Veg,Yes,No,Yes,No Curfew,10-05-2026,Available
104,kalyan nagar,13.025,77.64,4.9,17555,Single,Girls,3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,2,Veg,No,Yes,Yes,9:00 PM,15-05-2026,Available
105,thanisandra,13.05,77.62,3.05,8496,Double,Boys,3,Yes,Yes,No,No,No,No,No,No,No,Yes,No,2,Non-Veg,No,No,No,11:00 PM,30-04-2026,Full
106,yelahanka,13.1,77.596,7.22,11789,Double,Boys,3,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,2,Non-Veg,Yes,No,No,9:00 PM,04-05-2026,Available
107,bagalur,13.12,77.65,11.12,7133,Double,Co-ed,2,No,No,No,No,No,No,Yes,No,No,Yes,Yes,4,Non-Veg,No,Yes,Yes,No Curfew,04-05-2026,Available
108,yelahanka,13.1,77.596,7.22,14777,Single,Co-ed,2,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2,Non-Veg,Yes,No,No,9:00 PM,09-05-2026,Full
109,bagalur,13.12,77.65,11.12,9976,Double,Girls,2,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,4,Veg,No,No,No,No Curfew,25-04-2026,Full
110,bagalur,13.12,77.65,11.12,16870,Single,Boys,3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,Veg,No,Yes,No,No Curfew,21-04-2026,Available
111,hebbal,13.035,77.597,0,15356,Single,Girls,3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Non-Veg,No,Yes,No,No Curfew,23-04-2026,Full
112,kodigehalli,13.07,77.58,4.32,18651,Single,Co-ed,3,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,4,Both,No,No,No,10:00 PM,28-04-2026,Available
113,rt nagar,13.022,77.594,1.48,6773,Triple,Boys,3,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,5,Non-Veg,No,Yes,Yes,9:00 PM,10-05-2026,Full
114,kodigehalli,13.07,77.58,4.32,15420,Single,Girls,3,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,2,Non-Veg,Yes,Yes,No,11:00 PM,28-04-2026,Full
115,bagalur,13.12,77.65,11.12,9839,Double,Girls,3,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,4,Non-Veg,Yes,No,No,11:00 PM,11-05-2026,Available
116,rt nagar,13.022,77.594,1.48,15303,Single,Boys,3,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4,Both,Yes,Yes,Yes,No Curfew,04-05-2026,Available
117,rt nagar,13.022,77.594,1.48,11160,Single,Co-ed,3,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,4,Veg,Yes,Yes,No,No Curfew,15-05-2026,Full
118,hebbal,13.035,77.597,0,8581,Double,Co-ed,3,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,1,Non-Veg,No,Yes,No,No Curfew,19-05-2026,Available
119,rt nagar,13.022,77.594,1.48,14926,Single,Girls,2,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,2,Veg,Yes,Yes,No,No Curfew,27-04-2026,Full
120,hebbal,13.035,77.597,0,5754,Triple,Co-ed,3,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,3,Veg,No,No,No,9:00 PM,09-05-2026,Full
121,yelahanka,13.1,77.596,7.22,5124,Triple,Boys,2,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,4,Both,No,Yes,No,10:00 PM,24-04-2026,Available
122,hennur,13.05,77.64,5.06,9292,Double,Girls,3,No,Yes,No,No,No,No,No,No,Yes,No,Yes,3,Non-Veg,Yes,Yes,No,No Curfew,26-04-2026,Available
123,hebbal,13.035,77.597,0,11236,Double,Girls,3,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,4,Non-Veg,Yes,Yes,No,9:00 PM,10-05-2026,Available
124,vidyaranyapura,13.08,77.55,7.22,5775,Triple,Girls,3,Yes,No,No,No,No,No,No,No,No,Yes,Yes,5,Non-Veg,No,No,No,No Curfew,09-05-2026,Full
125,horamavu,13.03,77.67,8.12,10449,Single,Girls,2,No,Yes,Yes,No,No,No,No,No,No,Yes,No,3,Both,No,No,No,No Curfew,12-05-2026,Available
126,hebbal,13.035,77.597,0,4685,Triple,Girls,3,No,Yes,No,No,No,Yes,Yes,No,No,No,No,2,Veg,Yes,No,No,11:00 PM,03-05-2026,Full
127,vidyaranyapura,13.08,77.55,7.22,6581,Double,Boys,2,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,3,Both,No,Yes,No,9:00 PM,30-04-2026,Available
128,kalyan nagar,13.025,77.64,4.9,11539,Single,Co-ed,3,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,5,Both,Yes,Yes,Yes,9:00 PM,30-04-2026,Full
129,rt nagar,13.022,77.594,1.48,6597,Double,Girls,3,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,5,Non-Veg,Yes,No,Yes,No Curfew,30-04-2026,Available
130,rt nagar,13.022,77.594,1.48,4097,Triple,Girls,2,No,No,No,No,No,Yes,No,No,No,No,Yes,5,Both,Yes,Yes,No,11:00 PM,12-05-2026,Full
131,yelahanka,13.1,77.596,7.22,11774,Double,Co-ed,3,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,4,Veg,No,Yes,Yes,9:00 PM,10-05-2026,Available
132,hebbal,13.035,77.597,0,5814,Triple,Boys,2,No,No,No,No,No,No,No,No,No,No,Yes,2,Veg,Yes,No,No,No Curfew,27-04-2026,Full
133,nagawara,13.04,77.62,2.61,13943,Single,Co-ed,3,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,3,Veg,No,No,No,9:00 PM,06-05-2026,Available
134,kammanahalli,13.02,77.635,4.53,14248,Single,Boys,2,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,1,Both,No,Yes,Yes,9:00 PM,23-04-2026,Available
135,sahakar nagar,13.06,77.58,3.36,9547,Double,Co-ed,3,No,No,No,No,No,No,No,Yes,Yes,No,Yes,4,Veg,No,Yes,Yes,No Curfew,16-05-2026,Full
136,sahakar nagar,13.06,77.58,3.36,17381,Single,Girls,2,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,3,Both,No,Yes,No,No Curfew,22-04-2026,Full
137,rt nagar,13.022,77.594,1.48,13578,Single,Co-ed,3,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,5,Both,Yes,Yes,No,11:00 PM,04-05-2026,Full
138,horamavu,13.03,77.67,8.12,6019,Triple,Co-ed,3,No,No,No,No,No,No,No,No,Yes,No,Yes,4,Non-Veg,No,Yes,No,11:00 PM,04-05-2026,Available
139,yelahanka,13.1,77.596,7.22,11626,Double,Girls,2,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,1,Veg,No,No,Yes,10:00 PM,05-05-2026,Available
140,jakkur,13.08,77.6,5.01,10493,Double,Boys,3,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,1,Veg,Yes,No,No,9:00 PM,29-04-2026,Available
141,horamavu,13.03,77.67,8.12,16804,Single,Co-ed,2,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,5,Veg,Yes,Yes,No,9:00 PM,11-05-2026,Available
